n_factors,lr,weight_decay,epochs,beta,train_mse,test_mse
4,0.005,0.001,200,0.5,0.6094301215214329,0.6880078531939325
7,0.005,0.0001,100,0.5,0.5911773458743977,0.6882488826327939
5,0.005,0.0,100,0.5,0.6087130244475243,0.6888586575517388
7,0.005,0.001,200,1.0,0.6019982037926068,0.6894227801321016
5,0.005,0.0001,100,0.5,0.609726825268585,0.6900563100841189
4,0.005,0.001,300,0.8,0.611733997571586,0.6914359541963534
4,0.005,0.0,200,0.8,0.6135598206499069,0.692011374343272
4,0.005,0.0001,200,0.8,0.6141392354642107,0.6927253298177701
7,0.005,0.001,100,0.3,0.5978279069198911,0.695558727105807
5,0.005,0.001,100,0.3,0.6186586173241471,0.6965981181218149
4,0.005,0.001,200,0.8,0.6194642664369857,0.700723708504454
6,0.005,0.001,300,1.0,0.6171167146447365,0.7007414118535289
4,0.005,0.001,300,1.0,0.6194752412793526,0.7021728764829681
4,0.005,0.0,200,1.0,0.62315093357302,0.7031550843499168
9,0.001,0.0,300,0.3,0.6089301372767366,0.7035796009086502
4,0.005,0.0001,200,1.0,0.6236099406878765,0.7037425491510788
6,0.005,0.001,200,1.0,0.6182974913908672,0.7039667429209406
9,0.001,0.0001,300,0.3,0.6098692637401967,0.704418423763129
6,0.005,0.0,100,0.5,0.6052589294388631,0.704851635780642
6,0.005,0.0,100,0.3,0.6031328128497389,0.7049140129073311
6,0.005,0.0001,100,0.3,0.6039128309975628,0.7052927968410063
6,0.005,0.0001,100,0.5,0.6065046337771135,0.7056728803802326
7,0.005,0.001,100,0.5,0.6076904711274769,0.7059976921624214
7,0.005,0.0,100,0.8,0.6082760883684598,0.7062917547430392
9,0.005,0.0,100,1.0,0.6118717070315962,0.7063832393934178
9,0.005,0.001,100,0.8,0.6155596856173032,0.7070201920272791
5,0.005,0.001,100,0.5,0.6260868753107542,0.7072895832593714
8,0.001,0.0,300,0.3,0.6068794189535776,0.7083029379789192
7,0.005,0.0001,100,0.8,0.6103758686576266,0.7083631821053803
9,0.005,0.0001,100,1.0,0.6140291277566442,0.7088196380840924
9,0.001,0.0,300,0.5,0.6146943416843391,0.7092853112208681
3,0.005,0.0,300,0.3,0.636204070893789,0.7099709985625374
8,0.001,0.0001,300,0.3,0.6091174205609545,0.7103065877458237
9,0.001,0.0001,300,0.5,0.6158822925047445,0.7104036372022916
8,0.005,0.0,100,1.0,0.6129921138513387,0.7104481919687062
3,0.005,0.0001,300,0.3,0.6371336886187409,0.7111428301023655
5,0.005,0.0,100,0.8,0.6254065679938825,0.7123537541777917
6,0.005,0.001,100,0.3,0.6159935239755552,0.7126213323496824
9,0.001,0.001,300,0.3,0.6188338047949844,0.713116543240468
3,0.005,0.0,300,0.5,0.6387035814271453,0.7137988794464513
5,0.005,0.0001,100,0.8,0.6270031059125126,0.7138809517011507
4,0.005,0.001,200,1.0,0.6323330842029411,0.7141804000602076
8,0.005,0.0001,100,1.0,0.6162642372829207,0.7142689911072784
3,0.005,0.0001,300,0.5,0.6396749731132559,0.714991895216966
6,0.005,0.001,100,0.5,0.6203057891249524,0.7158985222993937
8,0.001,0.0,300,0.5,0.6151838380309053,0.7161921200691811
3,0.005,0.0,200,0.3,0.6424707525663997,0.7175569802286974
6,0.005,0.0,100,0.8,0.6204194095289121,0.7181394508594784
3,0.005,0.0001,200,0.3,0.6430400869671373,0.7183073438063414
8,0.001,0.0001,300,0.5,0.6172785847207566,0.7184186478677156
6,0.005,0.0001,100,0.8,0.62198876764895,0.7194017688435943
8,0.005,0.001,100,0.8,0.6220798321903136,0.7201794990608107
3,0.005,0.0,300,0.8,0.6436964162502242,0.7217215392556455
3,0.005,0.001,300,0.3,0.6455003483332133,0.7218590414852548
3,0.005,0.0,200,0.5,0.6451632338325424,0.7224801858405765
3,0.005,0.0001,200,0.5,0.6457247955740827,0.7231532087563365
3,0.005,0.0001,300,0.8,0.6448237950155484,0.7231952154558985
9,0.001,0.001,300,0.5,0.629753003787192,0.7249317695504205
3,0.005,0.001,200,0.3,0.6480926687628337,0.7250709512080753
3,0.005,0.001,300,0.5,0.6484787486990691,0.7267693546981306
4,0.005,0.001,100,0.3,0.6384575881789057,0.7269523714321323
7,0.005,0.0,100,1.0,0.6285077107438477,0.7280755319160391
8,0.001,0.001,300,0.3,0.6275728736959676,0.7283641681165804
6,0.005,0.001,100,0.8,0.6328479820116868,0.7287166233028931
4,0.005,0.0001,100,0.3,0.6389107202575315,0.7287765566466254
3,0.005,0.0,300,1.0,0.6487682762250678,0.7291560836717318
4,0.005,0.0,100,0.3,0.6392148104745715,0.7292627346040917
4,0.005,0.0001,100,0.5,0.6396325576625254,0.7292840890467616
5,0.005,0.001,100,0.8,0.6421785764712917,0.7293395226670996
5,0.005,0.0,100,1.0,0.638606259266366,0.7294675497974964
4,0.005,0.001,100,0.5,0.6409220465080832,0.7295093632509013
4,0.005,0.0,100,0.5,0.6397836093309955,0.729582214612695
7,0.005,0.0001,100,1.0,0.6305856059640578,0.7300962376658912
