date,F1,F2,F3,F4,F5,F6,F7
2018-11-01,2.4966757,0.14572845,1.806705,0.59727937,1.4175186,-0.64615923,-0.26510835
2018-11-02,0.7514509,0.48391518,0.5475548,0.12460439,0.9147431,0.1522065,0.44212836
2018-11-05,-1.0023625,0.23822246,-0.9728619,-1.3410063,-0.4097787,-0.5942337,0.14189772
2018-11-06,-0.5192345,0.12708338,-0.5180722,-1.1622248,-0.49391338,-1.1965667,0.6239534
2018-11-07,0.074035056,-0.011069467,0.40076172,0.6385997,0.32397306,0.6504435,-0.30305007
2018-11-08,-0.4055755,-0.3195111,0.12121349,0.3290177,0.19352482,-0.5225411,0.93964815
2018-11-09,-1.5378933,-0.21578291,-1.2806497,-1.5163295,-0.19145092,-0.7457433,0.84829164
2018-11-12,-0.44186363,-0.82648146,-0.024830349,-1.1157632,-0.18904509,0.0072270366,-0.00921759
2018-11-13,-0.19064172,-1.2535322,1.782709,0.5619318,-0.7316775,-1.911657,1.7901709
2018-11-14,-0.16211103,1.3158063,-0.6556688,-0.18404198,0.56269246,0.49134102,0.23847122
2018-11-15,0.53381413,0.5891292,0.79902375,0.7999166,0.2848688,-0.48103264,-0.12209291
2018-11-16,0.09990194,0.6389862,0.252116,0.9675964,0.7460008,0.5087722,0.5012573
2018-11-19,-0.90152276,0.41416827,-0.1467835,0.43353444,-0.4963799,0.25498188,0.41985172
2018-11-20,-0.21279858,-0.9044362,0.85451376,-0.73594546,-0.12016854,-2.872258,1.5448966
2018-11-21,0.25806004,1.0395802,0.09825487,0.3741164,0.32876512,-0.010818432,-0.38662612
2018-11-23,-0.41762036,-1.6139476,1.5908086,0.000610031,-0.7499936,-2.5827627,2.0537565
2018-11-26,-0.94259495,0.703091,-0.59264606,-0.7976288,-1.0875496,0.3378348,-0.6697355
2018-11-27,-0.17829272,-1.7954098,0.3513145,-1.5403533,-0.23440619,-0.12777618,-0.27429268
2018-11-28,1.142795,0.30991113,0.50347066,0.119603164,1.9646127,0.107997924,0.6820167
2018-11-29,-0.77998847,0.41294733,-0.91777027,0.010448614,-0.0026418122,0.44200245,0.026350752
2018-11-30,0.45093757,0.62843084,-0.8035855,-1.3064897,1.348338,-0.88777465,0.48016167
2018-12-03,0.73163223,1.345971,-0.06733408,0.48288977,0.23109508,1.1096371,-1.7019082
2018-12-04,0.094465695,-0.118554235,-0.49308458,-0.4987605,0.27733022,0.14107677,-0.5912008
2018-12-05,-0.3423773,-0.021751178,0.0246365,0.4464683,-0.07136422,0.33821502,0.44664207
2018-12-06,-0.8579113,-1.3392029,0.4010239,-0.5866606,-0.55316716,-1.6192604,1.0769415
2018-12-07,0.6804143,1.0460027,-0.5861558,-0.5651408,0.46859714,1.30939,-1.3101909
2018-12-10,-0.029831268,-1.8755038,1.0469513,-0.3946296,-0.3578743,-1.0244781,0.7712085
2018-12-11,-0.3799986,1.2467896,-0.4482389,-0.1645573,0.21548013,-0.13102533,0.30405617
2018-12-12,1.0094842,0.04180034,0.68959695,0.09051281,0.68379384,-0.47560954,-0.009447875
2018-12-13,-0.4616771,-0.27621925,-0.62165487,-0.5800933,-0.31143492,0.87566113,-0.41910252
2018-12-14,-0.35518703,-1.3262302,0.7332717,-0.2999252,-0.42313188,-0.7997375,0.61005604
2018-12-17,0.9423793,1.0635422,0.29634956,-0.053378694,2.1973612,-1.1670382,0.7770829
2018-12-18,0.34261984,-1.8325862,1.0947695,-0.864125,-0.3294307,-2.220488,1.2425476
2018-12-19,-0.21285704,0.10333852,0.018125433,0.74326223,-0.10281828,1.4257637,-0.6711978
2018-12-20,0.1214836,-1.3471223,1.5258027,0.618244,-0.52534246,-1.5307523,1.0461261
2018-12-21,-1.0605447,-0.35751328,-0.6389478,-0.75281304,-0.397418,-0.7081472,0.9184566
2018-12-24,0.74671257,-1.480004,2.1279876,0.39503828,-0.23089737,-1.6260604,0.66560566
2018-12-27,-0.87883985,0.8817386,-0.65212893,0.22959884,-0.540911,0.6176512,0.38058466
2018-12-28,0.5803464,-0.21990292,0.17391002,-0.7425537,0.8382337,-0.42510244,-0.19578537
2019-01-02,-0.27809194,0.5299848,-0.8243319,-0.785818,-0.3235873,0.3796908,-1.0036308
2019-01-03,0.87403893,-0.37161502,-0.35778067,-0.5213114,1.0187907,0.23731203,-1.1182656
2019-01-04,0.5209525,1.929003,-0.6132617,0.51361436,1.0909266,1.1163683,0.08602554
2019-01-07,0.35949188,-0.4821403,0.13112986,0.6735764,0.75029445,1.0536323,-0.61578107
2019-01-08,-0.411811,-0.4070733,-0.43000895,-0.5077466,-0.15083319,1.236668,-0.47281367
2019-01-09,-0.059011534,0.80927503,-0.9683218,-0.49625108,-0.13080952,1.7804167,-1.5434798
